"angle","species","sex","notes","other","mimicType","sampleSize","accuracy"
"Dorsal","Holoplatys sp2","","Pickled in 96% ethanol, 29-May-2017.","","non-mimic",1,4.7899733748633e-30
"Dorsal","Holoplatys sp4","","Juvenile? Pickled in 96% ethanol, 9-May-2017.","Ant-mimic spider","mimetic spider",1,8.47266695969370e-15
"Dorsal","Iridonyssus formicans","","Collection code #COLL004/05","Ant-mimic spider","mimetic spider",8,3.32381339416775e-17
"Dorsal","Iridonyssus kohouti","","Probable mimic. Found sheltering with ants (specimen 950). Observed by Chris to behave like the ants it was with, including antennal illusion. 
Pickled in 100% ethanol, 28-Aug-2017.","Ant mimic spider","mimetic spider",2,1.24456081486202e-19
"Dorsal","Judalana lutea","Female","","Ant-mimic spider","mimetic spider",6,1.38622231375454e-12
"Dorsal","Lamponid2 sp1","","Pickled in 70% ethanol, 12-Jul-2017.","Predator","non-mimic",2,6.94249179801209e-20
"Dorsal","Leichhardteus albofasciatus","Female","","Photo; Interpolated","mimetic spider",1,2.63883282609447e-53
"Dorsal","Leptomyrmex sp1","","Frozen 19-Feb-2017
Pickled in 96% ethanol 1-Mar-2017","","model",1,0.999999266401662
"Dorsal","Leptopicia bimaculata","Female","","Drawing","mimetic spider",1,1.12407984220837e-09
"Dorsal","Ligonipes lacertosus","Female","","Drawing","mimetic spider",1,2.23003170845818e-14
"Dorsal","Ligonipes semitectus","Female","","Drawing","mimetic spider",1,7.40322257250377e-50
"Dorsal","Ligonipes sp1","","Collected by Barbara Baehr.
Pickled in 96% ethanol 29-Mar-2017.","Ant-mimic spider","mimetic spider",1,3.62575723218263e-16
"Dorsal","Ligonipes sp2","Male","","Ant-mimic spider","mimetic spider",3,2.87990233768119e-10
"Dorsal","Lycosid3 sp1","","","","non-mimic",1,4.21462531337348e-38
"Dorsal","Lycosid4 sp1","","Decomposed","","non-mimic",2,1.01449874000208e-25
"Dorsal","Mantid1 sp1","","Pickled in 96% ethanol 29-Mar-2017.","","non-mimic",1,1.3460398978744e-42
"Dorsal","Mantid2 sp1","","Mimic of large red Rhytidoponera (according to Chris Burnell, ant taxonomist)","","non-mimic",1,6.8506815879384e-09
"Dorsal","Mazax pax","Female","","Photo","mimetic spider",1,5.4253588074219e-07
"Dorsal","Mazax spinosa","Female","","Photo","mimetic spider",1,1.09555030114675e-16
"Dorsal","Myandra bicincta","","Collected by Jonas under bark. Died because I froze it for too long.
Specimen broke apart.
Pickled in 96% ethanol 29-Mar-2017.","Ant-mimic spider","mimetic spider",2,6.26465947858058e-25
"Dorsal","Myrmapana centralis","Female","","Photo","mimetic spider",1,2.43120477829745e-12
"Dorsal","Myrmapana parallela","Male","Specimen deformed","Photo; Angle adjusted, interpolated","mimetic spider",1,1.37760949255154e-16
"Dorsal","Myrmapeni chickeringi","Male","","Photo","mimetic spider",1,5.03019397148557e-14
"Dorsal","Myrmaplata plataleoides","Male","","Photo","mimetic spider",1,2.80571521532609e-07
"Dorsal","Myrmarachne bicolor","","Pickled in 70% ethanol, 12-Jul-2017.","Ant-mimic spider","mimetic spider",1,5.59735965613942e-07
"Dorsal","Myrmarachne erythrocephala","","Found on sheet while sampling leaf litter, escaped from care","Ant mimic","mimetic spider",13,8.76787220063833e-07
"Dorsal","Myrmarachne formicaria","Male","","Photo","mimetic spider",1,3.36145020966053e-10
"Dorsal","Myrmarachne helensmithae","Male","","Photo; Angle adjusted","mimetic spider",1,1.80932745082140e-12
"Dorsal","Myrmarachne juvenile","","Squashed while being captured.
Pickled in 96% ethanol, 9-May-2017.","Ant-mimic spider","mimetic spider",5,7.60356119210918e-11
"Dorsal","Myrmarachne luctuosa","","About 2m up tree, no ants visible nearby, died in care, opisthosoma dessicated","Ant mimic","mimetic spider",20,3.02590119749552e-08
"Dorsal","Myrmarachne macaulayi","Male","","Photo","mimetic spider",1,1.86795722863386e-09
"Dorsal","Myrmarachne macleayana","","Id uncertain, golden bum + no abdominal constriction.","Ant-mimic spider","mimetic spider",8,2.36222579272677e-09
"Dorsal","Myrmarachne smaragdina","Male","","Photo","mimetic spider",5,0.0260261813521676
"Dorsal","Myrmecia mandibularis","","Pickled, 21-Apr-2017.","","model",2,0.999997961540302
"Dorsal","Myrmecotypus rettenmeyeri","Female","","Photo; Interpolated","mimetic spider",1,0.0340742654999556
"Dorsal","Neon nellii*","Female","","Photo; Angle adjusted","mimetic spider",1,1.95383763209084e-65
"Dorsal","Nucastia supunnoides","Male","","Photo","mimetic spider",1,5.58192052007866e-10
"Dorsal","Nyssus albopunctatus","Female","","Photo","mimetic spider",1,4.2420618473504e-68
"Dorsal","Nyssus avidus","Female","","Photo","mimetic spider",1,3.72932312348423e-37
"Dorsal","Nyssus coloripes","","White-spotted form.
Pickled in 96% ethanol, 29-May-2017.","","non-mimic",2,1.6233690254463e-28
"Dorsal","Nyssus luteofinis","Female","","Drawing","mimetic spider",1,4.90779422959622e-31
"Dorsal","Nyssus paradoxus","Female","","Drawing","mimetic spider",1,1.88283894669574e-19
"Dorsal","Odontomachus sp1","","Spectra recorded
Pickled in 96% ethanol 29-Mar-2017.","","model",1,0.99999999973905
"Dorsal","Oecophylla smaragdina","","Legs removed from 1 specimen.
Pickled in 96% ethanol 29-Mar-2017.","","model",1,0.99999999997276
"Dorsal","Opisthopsis sp1","","Pickled in 96% ethanol 29-Mar-2017.","","model",1,0.999999999075491
"Dorsal","Oxyopes elegans","","","","non-mimic",1,8.43867524267854e-37
"Dorsal","Poecilipta contorqua","Male","Stano Pekar says it may be Nyssus. sp
Poecilipta lugubris or similar.
Id'ed by Aus Mus (Helen Smith or Graham Milledge) as Poecilipta contorqua.
Noticed running around _fast_ on the ground. Dolichoderus scabridus a possible model - similar body and legs colours,
14 Feb 2017 - knocked out with CO2, then pickled in 96% ethanol.","Ant mimic spider","mimetic spider",1,2.10325270197272e-09
"Dorsal","Poecilipta kohouti","","","Ant-mimic spider","mimetic spider",6,7.07328779854786e-11
"Dorsal","Polyrhachis ammon","","Pickled, 21-Apr-2017.","","model",1,1
"Dorsal","Polyrhachis monteithi","","Pickled in 70% ethanol, date unknown.","","model",1,1
"Dorsal","Polyrhachis sp1","","","","model",1,1
"Dorsal","Polyrhachis sp2","","","","model",2,1
"Dorsal","Reduviid1 sp1","","Pickled in 96% ethanol 29-Mar-2017.","Ant mimic bug","mimetic insect",2,3.27414611830107e-10
"Dorsal","Rhombonotus gracilis","","Pickled in 96% ethanol, 15-May-2017.","Ant-mimic spider","mimetic spider",3,1.78020861674943e-15
"Dorsal","Rhombonotus sp1","Male","","","non-mimic",1,9.31712576305278e-17
"Dorsal","Rhombonotus sp2","","Possible model is sympatric specimen 814.
Pickled in 70% ethanol, 12-Jul-2017.","Ant-mimic spider","mimetic spider",7,4.93517125060763e-16
"Dorsal","Rhombonotus sp3","","Aus Mus ID notes: Ravi's ID, HS says too young to identify 

Pickled in 70% ethanol, 12-Jul-2017.","Ant-mimic spider","mimetic spider",1,1.42385139056777e-12
"Dorsal","Rhytidoponera metallica","","Pickled, 21-Apr-2017.","","model",2,0.999999999917211
"Dorsal","Riptortus abdominalis","","Pickled in 96% ethanol 29-Mar-2017.","","non-mimic",1,1.22932753014054e-11
"Dorsal","Riptortus abdominalis (juvenile)","","Mimic of Oecophylla","Ant mimic bug","mimetic insect",4,4.0024753035579e-11
"Dorsal","Salticid17 sp1","","Aus mus notes: Fissident juvenile, cannot go further.
Constantly on the move, like an ant. Possibly a juvenile Ligonipes?
Pickled in 70% ethanol, 11-Jul-2017.","Ant-mimic spider","mimetic spider",1,5.79404307736345e-16
"Dorsal","Salticid18 sp1","","Pickled in 70% ethanol, 12-Jul-2017.","","non-mimic",1,7.43774661725224e-34
"Dorsal","Salticid5 sp1","","","","non-mimic",1,2.99935479980684e-34
"Dorsal","Salticid7 sp1","","","","non-mimic",1,3.52710005528757e-45
"Dorsal","Serendib suthepica","Male","","Photo","mimetic spider",1,0.00119326340564653
"Dorsal","Serendib volans","Female","","Photo","mimetic spider",1,3.26889087565168e-12
"Dorsal","Servaea incana","","","","non-mimic",2,7.23617210772213e-60
"Dorsal","Sphecotypus niger","Female","","Photo; Angle adjusted","mimetic spider",1,0.165063924635676
"Dorsal","Sphinctomyrmex sp1","","","","model",1,0.986975150400553
"Dorsal","Storena mainae","male","","","non-mimic",2,4.81006268154906e-18
"Dorsal","Tamopsis fickerti","","","","non-mimic",1,5.23824419722038e-143
"Dorsal","Thomisid1 sp1","","","","non-mimic",1,1.40629520437281e-98
"Dorsal","Tinytrema bondi","","","Ant-mimic spider","mimetic spider",1,3.09326681827286e-13
"Dorsal","Vespoidea2 sp1","","","Ant mimic","mimetic insect",1,1.78116149186619e-08
"Dorsal","Vespoidea3 sp1","","Collected thinking it was an ant
Pickled in 96% ethanol 1-Mar-2017","Ant-mimic wasp","mimetic insect",1,1.20556510487977e-09
"Dorsal","Vespoidea3 sp3","","","Ant mimic","mimetic insect",1,2.02484359406612e-17
"Dorsal","Vespoidea4 sp1","","Walking on tree trunk, looked like an ant except it moved slightly differently
Pickled in 96% ethanol 1-Mar-2017","","non-mimic",3,5.84905502241095e-14
"Dorsal","Vespoidea5 sp1","","Pickled, 21-Apr-2017.
Looks very similar to Polyrhachis hookeri.","Posssible wasp ant-mimic","mimetic insect",4,2.78443158968656e-09
"Dorsal","Vespoidea6 sp1","","Pickled, 21-Apr-2017.","Ant-mimic wasp","mimetic insect",1,6.08482891520846e-11
"Dorsal","Zillimata scintillans","Male","Behavioural ant mimic","","non-mimic",1,6.27514710353486e-11
"Dorsal","Zodarid4 sp1","","Collected by Jonas under bark. Died.
Pickled in 96% ethanol, 27-Apr-2017","Ant-mimic spider","mimetic spider",1,8.13707771599757e-29
