"angle","species","sex","notes","other","mimicType","sampleSize","accuracy"
"Dorsal","Holoplatys sp2","","Pickled in 96% ethanol, 29-May-2017.","","non-mimic",1,1.35457166622734e-30
"Dorsal","Holoplatys sp4","","Juvenile? Pickled in 96% ethanol, 9-May-2017.","Ant-mimic spider","mimetic spider",1,7.78482982416123e-15
"Dorsal","Iridonyssus formicans","","Collection code #COLL004/05","Ant-mimic spider","mimetic spider",8,6.37933968839958e-17
"Dorsal","Iridonyssus kohouti","","Probable mimic. Found sheltering with ants (specimen 950). Observed by Chris to behave like the ants it was with, including antennal illusion. 
Pickled in 100% ethanol, 28-Aug-2017.","Ant mimic spider","mimetic spider",2,5.45766549127889e-18
"Dorsal","Judalana lutea","Female","","Ant-mimic spider","mimetic spider",6,1.23941915658388e-12
"Dorsal","Lamponid2 sp1","","Pickled in 70% ethanol, 12-Jul-2017.","Predator","non-mimic",2,4.91728516067193e-20
"Dorsal","Leichhardteus albofasciatus","Female","","Photo; Interpolated","mimetic spider",1,4.85268919035453e-36
"Dorsal","Leptomyrmex sp1","","Frozen 19-Feb-2017
Pickled in 96% ethanol 1-Mar-2017","","model",1,1
"Dorsal","Leptopicia bimaculata","Female","","Drawing","mimetic spider",1,1.27422392251831e-09
"Dorsal","Ligonipes lacertosus","Female","","Drawing","mimetic spider",1,1.75556498221012e-14
"Dorsal","Ligonipes semitectus","Female","","Drawing","mimetic spider",1,1.07123970599272e-43
"Dorsal","Ligonipes sp1","","Collected by Barbara Baehr.
Pickled in 96% ethanol 29-Mar-2017.","Ant-mimic spider","mimetic spider",1,3.32439791406851e-11
"Dorsal","Ligonipes sp2","Male","","Ant-mimic spider","mimetic spider",3,6.13759265077804e-06
"Dorsal","Lycosid3 sp1","","","","non-mimic",1,3.71240946389973e-38
"Dorsal","Lycosid4 sp1","","Decomposed","","non-mimic",2,3.20906531674438e-26
"Dorsal","Mantid1 sp1","","Pickled in 96% ethanol 29-Mar-2017.","","non-mimic",1,4.61556930399889e-47
"Dorsal","Mantid2 sp1","","Mimic of large red Rhytidoponera (according to Chris Burnell, ant taxonomist)","","non-mimic",1,1.29501113041363e-10
"Dorsal","Mazax pax","Female","","Photo","mimetic spider",1,0.000194039575190898
"Dorsal","Mazax spinosa","Female","","Photo","mimetic spider",1,2.48494727386696e-08
"Dorsal","Myandra bicincta","","Collected by Jonas under bark. Died because I froze it for too long.
Specimen broke apart.
Pickled in 96% ethanol 29-Mar-2017.","Ant-mimic spider","mimetic spider",2,3.27911300784671e-25
"Dorsal","Myrmapana centralis","Female","","Photo","mimetic spider",1,9.01763533947212e-09
"Dorsal","Myrmapana parallela","Male","Specimen deformed","Photo; Angle adjusted, interpolated","mimetic spider",1,2.81661307414492e-14
"Dorsal","Myrmapeni chickeringi","Male","","Photo","mimetic spider",1,5.53005381431589e-12
"Dorsal","Myrmaplata plataleoides","Male","","Photo","mimetic spider",1,0.999999587338291
"Dorsal","Myrmarachne bicolor","","Pickled in 70% ethanol, 12-Jul-2017.","Ant-mimic spider","mimetic spider",1,0.993895481546822
"Dorsal","Myrmarachne erythrocephala","","Found on sheet while sampling leaf litter, escaped from care","Ant mimic","mimetic spider",13,0.027967208206589
"Dorsal","Myrmarachne formicaria","Male","","Photo","mimetic spider",1,0.976287799428574
"Dorsal","Myrmarachne helensmithae","Male","","Photo; Angle adjusted","mimetic spider",1,2.85597995485162e-08
"Dorsal","Myrmarachne juvenile","","Squashed while being captured.
Pickled in 96% ethanol, 9-May-2017.","Ant-mimic spider","mimetic spider",5,2.344898260908e-10
"Dorsal","Myrmarachne luctuosa","","About 2m up tree, no ants visible nearby, died in care, opisthosoma dessicated","Ant mimic","mimetic spider",20,6.37631001851703e-06
"Dorsal","Myrmarachne macaulayi","Male","","Photo","mimetic spider",1,7.66890454709733e-06
"Dorsal","Myrmarachne macleayana","","Id uncertain, golden bum + no abdominal constriction.","Ant-mimic spider","mimetic spider",8,1.10994860470733e-07
"Dorsal","Myrmarachne smaragdina","Male","","Photo","mimetic spider",5,0.999951757151417
"Dorsal","Myrmecia mandibularis","","Pickled, 21-Apr-2017.","","model",2,1
"Dorsal","Myrmecotypus rettenmeyeri","Female","","Photo; Interpolated","mimetic spider",1,0.0319446244832153
"Dorsal","Neon nellii*","Female","","Photo; Angle adjusted","mimetic spider",1,2.99451573101047e-55
"Dorsal","Nucastia supunnoides","Male","","Photo","mimetic spider",1,1.42003648197662e-08
"Dorsal","Nyssus albopunctatus","Female","","Photo","mimetic spider",1,2.04091593850897e-55
"Dorsal","Nyssus avidus","Female","","Photo","mimetic spider",1,4.40567461988936e-37
"Dorsal","Nyssus coloripes","","White-spotted form.
Pickled in 96% ethanol, 29-May-2017.","","non-mimic",2,6.44425158116332e-28
"Dorsal","Nyssus luteofinis","Female","","Drawing","mimetic spider",1,5.11895354049504e-31
"Dorsal","Nyssus paradoxus","Female","","Drawing","mimetic spider",1,6.61457608354009e-17
"Dorsal","Odontomachus sp1","","Spectra recorded
Pickled in 96% ethanol 29-Mar-2017.","","model",1,1
"Dorsal","Oecophylla smaragdina","","Legs removed from 1 specimen.
Pickled in 96% ethanol 29-Mar-2017.","","model",1,1
"Dorsal","Opisthopsis sp1","","Pickled in 96% ethanol 29-Mar-2017.","","model",1,0.99999999999999
"Dorsal","Oxyopes elegans","","","","non-mimic",1,5.9647828286546e-38
"Dorsal","Poecilipta contorqua","Male","Stano Pekar says it may be Nyssus. sp
Poecilipta lugubris or similar.
Id'ed by Aus Mus (Helen Smith or Graham Milledge) as Poecilipta contorqua.
Noticed running around _fast_ on the ground. Dolichoderus scabridus a possible model - similar body and legs colours,
14 Feb 2017 - knocked out with CO2, then pickled in 96% ethanol.","Ant mimic spider","mimetic spider",1,5.78983069709003e-08
"Dorsal","Poecilipta kohouti","","","Ant-mimic spider","mimetic spider",6,9.79775147977352e-10
"Dorsal","Polyrhachis ammon","","Pickled, 21-Apr-2017.","","model",1,1
"Dorsal","Polyrhachis monteithi","","Pickled in 70% ethanol, date unknown.","","model",1,1
"Dorsal","Polyrhachis sp1","","","","model",1,1
"Dorsal","Polyrhachis sp2","","","","model",2,1
"Dorsal","Reduviid1 sp1","","Pickled in 96% ethanol 29-Mar-2017.","Ant mimic bug","mimetic insect",2,0.999999999739537
"Dorsal","Rhombonotus gracilis","","Pickled in 96% ethanol, 15-May-2017.","Ant-mimic spider","mimetic spider",3,9.20162944159337e-15
"Dorsal","Rhombonotus sp1","Male","","","non-mimic",1,2.17696305829524e-16
"Dorsal","Rhombonotus sp2","","Possible model is sympatric specimen 814.
Pickled in 70% ethanol, 12-Jul-2017.","Ant-mimic spider","mimetic spider",7,2.07280218184951e-15
"Dorsal","Rhombonotus sp3","","Aus Mus ID notes: Ravi's ID, HS says too young to identify 

Pickled in 70% ethanol, 12-Jul-2017.","Ant-mimic spider","mimetic spider",1,1.5324925236971e-11
"Dorsal","Rhytidoponera metallica","","Pickled, 21-Apr-2017.","","model",2,1
"Dorsal","Riptortus abdominalis","","Pickled in 96% ethanol 29-Mar-2017.","","non-mimic",1,5.04981697711242e-12
"Dorsal","Riptortus abdominalis (juvenile)","","Mimic of Oecophylla","Ant mimic bug","mimetic insect",4,1.79780407647153e-09
"Dorsal","Salticid17 sp1","","Aus mus notes: Fissident juvenile, cannot go further.
Constantly on the move, like an ant. Possibly a juvenile Ligonipes?
Pickled in 70% ethanol, 11-Jul-2017.","Ant-mimic spider","mimetic spider",1,4.70573189089417e-15
"Dorsal","Salticid18 sp1","","Pickled in 70% ethanol, 12-Jul-2017.","","non-mimic",1,1.43415818766823e-34
"Dorsal","Salticid5 sp1","","","","non-mimic",1,1.34939882838586e-35
"Dorsal","Salticid7 sp1","","","","non-mimic",1,1.06257265328506e-45
"Dorsal","Serendib suthepica","Male","","Photo","mimetic spider",1,0.114505305600981
"Dorsal","Serendib volans","Female","","Photo","mimetic spider",1,0.0256729358039048
"Dorsal","Servaea incana","","","","non-mimic",2,2.92214969161376e-60
"Dorsal","Sphecotypus niger","Female","","Photo; Angle adjusted","mimetic spider",1,0.999999999862139
"Dorsal","Sphinctomyrmex sp1","","","","model",1,1
"Dorsal","Storena mainae","male","","","non-mimic",2,9.31094446349117e-19
"Dorsal","Tamopsis fickerti","","","","non-mimic",1,3.00929732433547e-147
"Dorsal","Thomisid1 sp1","","","","non-mimic",1,3.26493081704156e-100
"Dorsal","Tinytrema bondi","","","Ant-mimic spider","mimetic spider",1,0.999769841176042
"Dorsal","Vespoidea2 sp1","","","Ant mimic","mimetic insect",1,0.999999985607702
"Dorsal","Vespoidea3 sp1","","Collected thinking it was an ant
Pickled in 96% ethanol 1-Mar-2017","Ant-mimic wasp","mimetic insect",1,0.999998916676211
"Dorsal","Vespoidea3 sp3","","","Ant mimic","mimetic insect",1,0.999999721138497
"Dorsal","Vespoidea4 sp1","","Walking on tree trunk, looked like an ant except it moved slightly differently
Pickled in 96% ethanol 1-Mar-2017","","non-mimic",3,2.78730296900013e-17
"Dorsal","Vespoidea5 sp1","","Pickled, 21-Apr-2017.
Looks very similar to Polyrhachis hookeri.","Posssible wasp ant-mimic","mimetic insect",4,3.89285393474691e-10
"Dorsal","Vespoidea6 sp1","","Pickled, 21-Apr-2017.","Ant-mimic wasp","mimetic insect",1,1
"Dorsal","Zillimata scintillans","Male","Behavioural ant mimic","","non-mimic",1,4.42264721598982e-10
"Dorsal","Zodarid4 sp1","","Collected by Jonas under bark. Died.
Pickled in 96% ethanol, 27-Apr-2017","Ant-mimic spider","mimetic spider",1,1.02403893363898e-27
